"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.707334528,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.230249294,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.371930393,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.342145115,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.783101621,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.97594363,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.933873206,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.582739838,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.951849039,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.705934351,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.477070028,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.112303014,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.048425989,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.460333645,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.909745857,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.678544254,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425168524,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.902359705,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.283047397,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.272140115,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.212854921,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.831155079,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.774986589,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.864379412,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895287568,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.610478397,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.60294173,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.864742366,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.219507625,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463326275,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.252116756,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.489033114,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.021802407,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.534745944,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.188310077,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.66443165,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.882072809,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.275844708,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.112682331,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.346130545,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.641844416,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.08406379,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.355548779,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.879407791,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.159466054,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.716695824,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.444456578,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.400277135,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.113231519,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.094770505,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.400814224,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.593204783,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.125331418,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.546076867,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.893406991,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.621192169,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.372733833,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.722395635,
"OECD","QGDP","TOT","PC_CHGPP","A","2020",-4.59465413,
"OECD","QGDP","TOT","PC_CHGPP","A","2021",5.462165848,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.943015787,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.050014117,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.339832053,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.425026894,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.087636986,
"EST","QGDP","TOT","PC_CHGPP","A","2001",6.00367406,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.771366974,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.600265729,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.804003009,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.526428986,
"EST","QGDP","TOT","PC_CHGPP","A","2006",9.765582251,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.579142637,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.131999487,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.629059663,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.44426636,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.263085848,
"EST","QGDP","TOT","PC_CHGPP","A","2012",3.228202109,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.458430169,
"EST","QGDP","TOT","PC_CHGPP","A","2014",3.01136295,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.853019077,
"EST","QGDP","TOT","PC_CHGPP","A","2016",3.155566814,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.792042325,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.133821667,
"EST","QGDP","TOT","PC_CHGPP","A","2019",4.096341808,
"EST","QGDP","TOT","PC_CHGPP","A","2020",-2.951069759,
"EST","QGDP","TOT","PC_CHGPP","A","2021",8.349453761,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.450289556,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.00209888,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.576950295,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q4",2.996160574,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q1",3.466854108,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q2",5.112241186,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.465212346,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.759933392,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q1",-0.372460846,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q2",3.02141052,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q3",4.102017033,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q4",4.832455357,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q1",10.127128404,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q2",6.688292601,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q3",4.182533938,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q4",5.091160602,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q1",5.361369982,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q2",5.732236512,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q3",5.341682654,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q4",4.549872774,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q1",4.73437015,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q2",3.424303762,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q3",2.866220447,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q4",0.657536009,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q1",-1.629790537,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q2",-2.237879279,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q3",0,"E"
